name,SPOT_ID
,Solyc01g096420.2
,Solyc11g009060.1
,Solyc09g083020.1
,Solyc06g060250.2
,XM_004248134.1
,Solyc03g095230.2
,Solyc00g217960.1
,Solyc11g007700.1
,Solyc06g051380.1
,Solyc08g080680.2
,Solyc08g077060.2
,XM_004243284.1
,Solyc06g069070.1
,Solyc09g015650.2
,Solyc11g069050.1
,Solyc12g008840.1
,Solyc11g006200.1
,Solyc01g081050.2
,Solyc11g005060.1
,Solyc02g088800.1
,Solyc02g069800.1
,Solyc11g010730.1
,Solyc01g050000.2
,XM_004252645.1
,Solyc01g108560.2
,Solyc06g073080.2
,Solyc02g065190.2
,Solyc04g080730.2
,Solyc01g109830.2
,Solyc08g076520.2
,Solyc03g119080.2
,XR_182922.1
,Solyc11g010310.1
,Solyc06g076950.2
,Solyc12g015680.1
,XR_183401.1
,Solyc02g082460.2
,Solyc08g076020.2
,---
,Solyc05g006800.1
,XR_182588.1
,XM_004243359.1
,Solyc04g076540.2
,Solyc07g066670.2
,Solyc07g062260.2
,Solyc12g010250.1
,Solyc02g072530.1
,XM_004239798.1
,Solyc07g044780.2
,Solyc01g103980.2
,Solyc12g096270.1
,Solyc07g007250.2
,Solyc02g089330.2
,Solyc10g050230.1
,Solyc01g058320.2
,Solyc12g008410.1
,Solyc08g076870.1
,Solyc11g010840.1
,Solyc10g074960.1
,Solyc03g083070.1
,Solyc12g007030.1
,Solyc12g036130.1
,Solyc09g098030.2
,XM_004236519.1
,Solyc01g008020.2
,Solyc02g091120.2
,Solyc04g057960.2
,Solyc03g083090.2
,XM_004245609.1
,Solyc01g079870.2
,Solyc04g015950.1
,Solyc02g090140.1
,Solyc03g119580.1
,Solyc05g054130.2
,Solyc05g008610.2
,Solyc10g076710.1
,---
,Solyc06g053860.2
,Solyc07g043260.2
,XM_004231516.1
,Solyc06g008620.1
,XM_004236058.1
,XM_004232076.1
,Solyc07g052740.2
,XM_004250426.1
,XM_004248157.1
,Solyc03g115500.2
,Solyc11g066740.1
,Solyc01g104470.2
,Solyc10g084160.1
,Solyc05g041840.1
,Solyc08g014100.1
,Solyc06g082200.2
,Solyc03g113400.2
,Solyc01g099710.2
,Solyc08g014080.2
,Solyc04g078090.2
,Solyc01g097790.2
,XM_004242847.1
,Solyc04g008740.2
,Solyc10g008110.2
,Solyc06g009260.2
,Solyc12g099440.1
,Solyc12g096810.1
,Solyc08g014370.1
,XM_004237589.1
,Solyc03g063390.1
,Solyc07g062730.1
,Solyc02g082060.1
,---
,---
,Solyc11g044870.1
,Solyc06g065650.2
,Solyc04g009000.1
,Solyc11g008470.1
,Solyc02g086700.2
,Solyc02g064740.2
,XM_004248972.1
,Solyc05g013320.1
,Solyc06g035960.2
,Solyc04g007410.2
,Solyc08g077850.1
,Solyc07g053600.2
,Solyc04g007120.2
,XM_004238254.1
,XM_004231177.1
,Solyc11g016990.1
,Solyc09g014210.1
,Solyc10g009380.2
,Solyc12g089240.1
,XR_182976.1
,Solyc08g080120.2
,Solyc05g041830.2
,Solyc03g122270.2
,Solyc09g011420.2
,Solyc10g012430.2
,XR_183337.1
,Solyc05g007890.2
,---
,Solyc11g006190.1
,Solyc01g010480.2
,XM_004248146.1
,Solyc06g073420.2
,Solyc06g068850.2
,Solyc01g102540.2
,Solyc01g096400.2
,Solyc02g064600.2
,XM_004232865.1
,Solyc03g114660.1
,Solyc11g039870.1
,Solyc04g014290.1
,XR_183068.1
,Solyc08g074280.2
,Solyc05g020020.2
,Solyc01g010650.2
,Solyc11g069780.1
,Solyc02g070240.2
,Solyc12g005060.1
,Solyc01g080190.2
,Solyc09g005910.2
,Solyc03g058940.2
,Solyc06g051940.2
,Solyc10g049970.1
,Solyc03g123930.1
,Solyc02g093580.2
,Solyc12g044490.1
,Solyc03g119650.2
,Solyc01g110700.2
,Solyc12g014360.1
,Solyc06g051900.2
,XM_004237485.1
,Solyc06g065240.2
,Solyc10g051030.1
,Solyc04g025170.2
,Solyc09g097850.1
,Solyc06g082220.2
,Solyc03g120300.2
,Solyc12g014010.1
,Solyc02g061950.2
,Solyc10g007520.1
