GeneID,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618830
Solyc10g006490.3.1,2077.08339,2335.284778,2454.869153,3530.921342,3162.726807
Solyc05g052460.3.1,446.2076126,443.4722928,457.4925335,448.6204856,404.0296607
Solyc10g084880.3.1,382.2772822,245.9255442,265.8057178,48.36878551,455.0764189
Solyc02g031710.3.1,545.3648599,570.4666312,590.3953923,813.8048161,658.1773505
Solyc05g008840.2.1,24.78931181,65.51295234,30.66989051,16.92907493,43.44404954
Solyc06g051010.1.1,1403.857869,1371.740433,1539.884086,683.2090953,600.6139849
Solyc11g068730.2.1,6897.952187,6854.670598,7569.073396,5491.066374,6432.977636
Solyc02g092130.2.1,744.984055,782.1238618,1133.508037,2050.836505,1857.233118
Solyc06g007670.4.1,8253.536133,8552.967902,6033.023046,5512.832328,4581.175024
Solyc04g016260.3.1,1542.156135,1494.703205,1145.009246,1076.205477,1161.042224
Solyc03g007890.3.1,292.2529393,415.2513287,199.3542883,89.48225318,128.1599461
Solyc06g007520.4.1,6430.869364,6894.986261,6149.313048,8670.104802,6183.174351
Solyc02g092210.1.1,683.6631258,452.543317,627.4548434,291.4219327,581.0641626
Solyc01g088310.3.1,591.0293816,596.6718121,567.3929745,261.1914417,240.0283737
Solyc10g150142.1.1,52.18802487,66.52084392,51.11648419,105.2021085,43.44404954
Solyc01g094915.1.1,2.609401243,0,5.111648419,2.418439275,5.430506193
Solyc03g025490.3.1,0,4.031566298,0,0,2.172202477
Solyc11g011690.1.1,13.04700622,11.08680732,8.945384733,18.13829456,44.53015078
Solyc04g009180.3.1,1692.196706,1932.128148,2232.512447,2779.995947,3285.456246
Solyc02g079320.3.1,309.2140473,465.6459074,385.9294556,704.9750487,671.2105654
Solyc12g008810.2.1,752.8122587,712.5793432,812.7520986,1045.974987,1045.915493
Solyc02g083900.3.1,627.560999,470.6853653,457.4925335,856.1275034,584.3224663
Solyc04g009560.3.1,425.3324027,435.4091602,236.4137394,165.6630904,154.2263759
Solyc09g009100.4.1,4211.573607,3340.152678,3285.512021,3094.393053,4392.193409
Solyc11g033281.1.1,13.04700622,10.07891575,5.111648419,48.36878551,24.98032849
Solyc09g009850.4.1,819.3519904,713.5872348,891.982649,1252.751545,1284.857765
Solyc04g082940.3.1,16.96110808,19.14993992,15.33494526,4.836878551,4.344404954
Solyc02g084670.4.1,2.609401243,1.007891575,0,0,4.344404954
Solyc01g090450.3.1,463.1687207,584.5771132,656.8468218,1153.595534,974.2328109
Solyc09g025270.3.1,1372.545054,1042.159888,730.9657239,730.3686611,665.7800592
Solyc05g014054.1.1,28.70341368,20.15783149,15.33494526,7.255317826,10.86101239
Solyc07g063880.4.1,13.04700622,25.19728936,25.55824209,33.85814985,31.49693592
Solyc05g032620.1.1,3.914101865,10.07891575,1.277912105,3.627658913,6.516607431
Solyc09g011770.3.1,703.2336351,876.8656698,1056.833311,1513.942986,1711.695552
Solyc11g073260.2.1,298.7764424,495.8826547,339.9246198,669.9076792,369.2744211
Solyc03g033860.1.1,0,6.047349447,7.667472628,16.92907493,6.516607431
Solyc01g005350.4.1,61.32092922,153.1995193,172.5181341,45.95034623,21.72202477
Solyc02g093000.3.1,246.5884175,302.3674724,201.9101125,151.1524547,159.6568821
Solyc07g005420.2.1,30.0081143,10.07891575,34.50362683,82.22693536,24.98032849
Solyc04g014940.2.1,27.39871306,39.30777141,51.11648419,21.76595348,36.92744211
Solyc12g008550.3.1,87.41494165,86.67867541,113.7341773,82.22693536,68.42437803
Solyc01g100450.1.1,108.2901516,130.0180131,140.5703315,60.46098188,80.37149165
Solyc06g007300.2.1,48.273923,46.36301243,29.39197841,9.673757101,17.37761982
Solyc06g062730.2.1,0,3.023674724,3.833736314,0,2.172202477
Solyc04g072390.3.1,1296.872418,1473.537482,1599.945955,2708.651988,1870.266333
Solyc06g083730.3.1,2009.238957,1874.678329,1863.195849,733.99632,716.8268174
Solyc06g050520.3.1,22.17991057,19.14993992,20.44659367,33.85814985,18.46372105
Solyc07g045250.1.1,289.643538,372.9198826,396.1527524,552.6133744,548.4811254
Solyc04g079520.3.1,28.70341368,24.18939779,26.8361542,38.6950284,13.03321486
Solyc06g074280.2.1,5.218802487,9.071024171,2.555824209,2.418439275,6.516607431
Solyc06g018100.4.1,1322.96643,1516.87682,1550.107383,1516.361426,1325.043511
Solyc12g088040.2.1,178.7439852,62.48927762,127.7912105,53.20566406,48.87455573
Solyc01g009010.3.1,4754.329065,5704.666312,5139.762485,7425.817795,6718.622261
Solyc05g009680.1.1,1860.503087,1869.638871,1978.207938,1438.971369,1729.073172
